cart_key,player_id,username,rank,item,price,category
1,1,CraftHunter,Default,MVP,25.0,Ranks
2,2,CobaltSpark12,Default,Unban,25.0,Perks
3,3,BlazeEagle,Default,Mythical,20.0,Crate keys
4,4,xXFireBearXx,Default,Maximum land size,20.0,Perks
5,5,xXCobaltSageXx,Default,Tier4,15.0,Sellwands
6,6,EnderWalker,Default,Fix all,15.0,Perks
7,25,UltraRaider,Default,Maximum land size,20.0,Perks
8,26,xXBlazeWizardXx,Default,Tier4,15.0,Sellwands
9,27,FrostBear50,VIP,Fix all,15.0,Perks
10,28,xXVoidBaneXx,Default,Legend,50.0,Ranks
11,33,TurboSlayer46,Default,Mythical,20.0,Crate keys
12,34,HyperNinja66,Default,Maximum land size,20.0,Perks
13,35,GoldPro,Default,Tier4,15.0,Sellwands
14,36,FrostEagle46,Default,Fix all,15.0,Perks
15,37,LavaTitan15,Default,Legend,50.0,Ranks
16,38,xXFireMasterXx,Default,Fly command,35.0,Perks
17,39,SkyRunner,Default,Legend,50.0,Ranks
18,39,SkyRunner,Default,Fly command,35.0,Perks
19,39,SkyRunner,Default,MVP,25.0,Ranks
20,40,CobaltHunter21,Default,Fly command,35.0,Perks
21,40,CobaltHunter21,Default,MVP,25.0,Ranks
22,40,CobaltHunter21,Default,Unban,25.0,Perks
23,41,xXNetherFuryXx,Default,MVP,25.0,Ranks
24,41,xXNetherFuryXx,Default,Unban,25.0,Perks
25,42,xXBlazeProXx,Default,Unban,25.0,Perks
26,42,xXBlazeProXx,Default,Mythical,20.0,Crate keys
27,43,CraftBane23,Default,Mythical,20.0,Crate keys
28,43,CraftBane23,Default,Maximum land size,20.0,Perks
29,44,VoidBane77,Default,Maximum land size,20.0,Perks
30,44,VoidBane77,Default,Tier4,15.0,Sellwands
31,45,TurboWalker78,Default,Tier4,15.0,Sellwands
32,45,TurboWalker78,Default,Fix all,15.0,Perks
33,46,xXNightKingXx,Default,Fix all,15.0,Perks
34,46,xXNightKingXx,Default,Legend,50.0,Ranks
35,47,xXEnderTitanXx,Default,Legend,50.0,Ranks
36,47,xXEnderTitanXx,Default,Fly command,35.0,Perks
37,48,FrostKnight82,MVP,Fly command,35.0,Perks
38,48,FrostKnight82,MVP,MVP,25.0,Ranks
39,49,LightBuilder,Default,MVP,25.0,Ranks
40,49,LightBuilder,Default,Unban,25.0,Perks
41,50,xXSkyForgeXx,Default,Unban,25.0,Perks
42,50,xXSkyForgeXx,Default,Mythical,20.0,Crate keys
43,51,xXCraftWraithXx,Default,Mythical,20.0,Crate keys
44,51,xXCraftWraithXx,Default,Maximum land size,20.0,Perks
45,52,xXLightBearXx,Default,Maximum land size,20.0,Perks
46,52,xXLightBearXx,Default,Tier4,15.0,Sellwands
47,53,xXLavaEagleXx,Default,Tier4,15.0,Sellwands
48,54,IceBuilder,Default,Fix all,15.0,Perks
49,55,FireSpark85,Default,Legend,50.0,Ranks
50,56,xXLightEagleXx,Default,Fly command,35.0,Perks
51,57,DragonForge30,Default,MVP,25.0,Ranks
52,58,HyperRaider,Default,Unban,25.0,Perks
53,59,xXDiamondMinerXx,Default,Mythical,20.0,Crate keys
54,60,xXIceSageXx,Default,Maximum land size,20.0,Perks
55,61,ShadowWalker28,Default,Tier4,15.0,Sellwands
56,62,xXCreeperProXx,Default,Fix all,15.0,Perks
57,63,xXSkyMasterXx,Default,Legend,50.0,Ranks
58,64,TurboRunner,Default,Fly command,35.0,Perks
59,65,DiamondGamer45,VIP,MVP,25.0,Ranks
60,84,PhantomWraith,Default,Legend,50.0,Ranks
61,85,SkyFox37,Default,Fly command,35.0,Perks
62,86,BlazeLord43,MVP,MVP,25.0,Ranks
63,92,xXShadowSageXx,Default,Fix all,15.0,Perks
64,93,NetherLord,Default,Legend,50.0,Ranks
65,94,FrostStrike72,Default,Fly command,35.0,Perks
66,95,PixelRunner99,Default,MVP,25.0,Ranks
67,96,MegaKing83,Default,Unban,25.0,Perks
68,97,BlockFury99,Default,Mythical,20.0,Crate keys
69,98,LavaKnight92,Default,Unban,25.0,Perks
70,98,LavaKnight92,Default,Mythical,20.0,Crate keys
71,98,LavaKnight92,Default,Maximum land size,20.0,Perks
72,99,xXFrostRaiderXx,Legend,Mythical,20.0,Crate keys
73,99,xXFrostRaiderXx,Legend,Maximum land size,20.0,Perks
74,99,xXFrostRaiderXx,Legend,Tier4,15.0,Sellwands
75,100,xXDragonBaneXx,Default,Maximum land size,20.0,Perks
76,100,xXDragonBaneXx,Default,Tier4,15.0,Sellwands
77,101,LavaSlayer98,Default,Tier4,15.0,Sellwands
78,101,LavaSlayer98,Default,Fix all,15.0,Perks
79,102,MegaSage69,Default,Fix all,15.0,Perks
80,102,MegaSage69,Default,Legend,50.0,Ranks
81,103,EnderForce,Default,Legend,50.0,Ranks
82,103,EnderForce,Default,Fly command,35.0,Perks
83,104,MegaFox,Default,Fly command,35.0,Perks
84,104,MegaFox,Default,MVP,25.0,Ranks
85,105,PixelForce68,Default,MVP,25.0,Ranks
86,105,PixelForce68,Default,Unban,25.0,Perks
87,106,MegaWolf,Default,Unban,25.0,Perks
88,106,MegaWolf,Default,Mythical,20.0,Crate keys
89,107,TurboBuilder,Legend,Mythical,20.0,Crate keys
90,107,TurboBuilder,Legend,Maximum land size,20.0,Perks
91,108,IronForce18,Default,Maximum land size,20.0,Perks
92,108,IronForce18,Default,Tier4,15.0,Sellwands
93,109,FireStrike27,Default,Tier4,15.0,Sellwands
94,109,FireStrike27,Default,Fix all,15.0,Perks
95,110,GoldBane,Default,Fix all,15.0,Perks
96,110,GoldBane,Default,Legend,50.0,Ranks
97,111,EpicBlade,Default,Legend,50.0,Ranks
98,111,EpicBlade,Default,Fly command,35.0,Perks
99,112,NeonPro72,Default,Fly command,35.0,Perks
100,113,DragonGamer,Default,MVP,25.0,Ranks
101,114,xXEnderWizardXx,Default,Unban,25.0,Perks
102,115,CraftBuilder83,Default,Mythical,20.0,Crate keys
103,116,MegaForce34,VIP,Maximum land size,20.0,Perks
104,117,CreeperTitan,Default,Tier4,15.0,Sellwands
105,118,PhantomBear60,MVP,Fix all,15.0,Perks
106,119,UltraWraith,Default,Legend,50.0,Ranks
107,120,FrostSniper,Default,Fly command,35.0,Perks
108,121,BlockWolf,Default,MVP,25.0,Ranks
109,122,IronGamer79,Default,Unban,25.0,Perks
110,123,TurboWalker77,Default,Mythical,20.0,Crate keys
111,124,CraftEagle,MVP,Maximum land size,20.0,Perks
112,143,MegaHunter,Default,Unban,25.0,Perks
113,144,xXCobaltWolfXx,Default,Mythical,20.0,Crate keys
114,145,NeonKnight,Legend,Maximum land size,20.0,Perks
115,151,xXEpicHunterXx,Default,MVP,25.0,Ranks
116,152,xXCraftRaiderXx,Default,Unban,25.0,Perks
117,153,FrostPro,Default,Mythical,20.0,Crate keys
118,154,xXSwiftMinerXx,VIP,Maximum land size,20.0,Perks
119,155,SkyWraith,Default,Tier4,15.0,Sellwands
120,156,MegaMiner36,MVP,Tier4,15.0,Sellwands
121,156,MegaMiner36,MVP,Fix all,15.0,Perks
122,157,xXShadowFoxXx,Default,Tier4,15.0,Sellwands
123,157,xXShadowFoxXx,Default,Fix all,15.0,Perks
124,157,xXShadowFoxXx,Default,Legend,50.0,Ranks
125,158,CobaltBane66,Legend,Fix all,15.0,Perks
126,158,CobaltBane66,Legend,Legend,50.0,Ranks
127,158,CobaltBane66,Legend,Fly command,35.0,Perks
128,159,IronTitan98,Default,Legend,50.0,Ranks
129,159,IronTitan98,Default,Fly command,35.0,Perks
130,160,PhantomWizard,Default,Fly command,35.0,Perks
131,160,PhantomWizard,Default,MVP,25.0,Ranks
132,161,xXPhantomLordXx,Default,MVP,25.0,Ranks
133,161,xXPhantomLordXx,Default,Unban,25.0,Perks
134,162,EnderWraith,Default,Unban,25.0,Perks
135,162,EnderWraith,Default,Mythical,20.0,Crate keys
136,163,IceRunner16,Default,Mythical,20.0,Crate keys
137,163,IceRunner16,Default,Maximum land size,20.0,Perks
138,164,HyperMaster,Legend,Maximum land size,20.0,Perks
139,164,HyperMaster,Legend,Tier4,15.0,Sellwands
140,165,DiamondKing23,Default,Tier4,15.0,Sellwands
141,165,DiamondKing23,Default,Fix all,15.0,Perks
142,166,FireBlade,Default,Fix all,15.0,Perks
143,166,FireBlade,Default,Legend,50.0,Ranks
144,167,xXBlazeMasterXx,Default,Legend,50.0,Ranks
145,167,xXBlazeMasterXx,Default,Fly command,35.0,Perks
146,168,TurboSage,Default,Fly command,35.0,Perks
147,168,TurboSage,Default,MVP,25.0,Ranks
148,169,DarkFury,Default,MVP,25.0,Ranks
149,169,DarkFury,Default,Unban,25.0,Perks
150,170,FireMaster31,Default,Unban,25.0,Perks
151,170,FireMaster31,Default,Mythical,20.0,Crate keys
152,171,CobaltSage87,Default,Mythical,20.0,Crate keys
153,172,xXMegaBearXx,Default,Maximum land size,20.0,Perks
154,173,xXUltraEagleXx,VIP,Tier4,15.0,Sellwands
155,174,xXTurboProXx,Default,Fix all,15.0,Perks
156,175,UltraSlayer,MVP,Legend,50.0,Ranks
157,176,xXNetherFoxXx,Default,Fly command,35.0,Perks
158,177,xXEnderBaneXx,Legend,MVP,25.0,Ranks
159,178,xXDarkBaneXx,VIP,Unban,25.0,Perks
160,179,MegaSage83,Default,Mythical,20.0,Crate keys
161,180,BlazePro36,Default,Maximum land size,20.0,Perks
162,181,CraftCraft29,Default,Tier4,15.0,Sellwands
163,182,FrostMiner,Default,Fix all,15.0,Perks
164,202,xXDarkWolfXx,Default,Tier4,15.0,Sellwands
165,203,GoldRaider93,Default,Fix all,15.0,Perks
166,204,xXSkyKingXx,VIP,Legend,50.0,Ranks
167,210,DarkMaster95,Default,Maximum land size,20.0,Perks
168,211,StormSage,VIP,Tier4,15.0,Sellwands
169,212,xXStormWraithXx,Default,Fix all,15.0,Perks
170,213,xXNetherRunnerXx,Default,Legend,50.0,Ranks
171,214,xXFireForceXx,Default,Fly command,35.0,Perks
172,215,SkySage19,Legend,Fly command,35.0,Perks
173,215,SkySage19,Legend,MVP,25.0,Ranks
174,216,NeonEagle31,Default,Fly command,35.0,Perks
175,216,NeonEagle31,Default,MVP,25.0,Ranks
176,216,NeonEagle31,Default,Unban,25.0,Perks
177,217,FireWalker,Default,MVP,25.0,Ranks
178,217,FireWalker,Default,Unban,25.0,Perks
179,218,NeonCraft46,Default,Unban,25.0,Perks
180,218,NeonCraft46,Default,Mythical,20.0,Crate keys
181,219,ShadowSniper,Default,Mythical,20.0,Crate keys
182,219,ShadowSniper,Default,Maximum land size,20.0,Perks
183,220,NetherBuilder70,Default,Maximum land size,20.0,Perks
184,220,NetherBuilder70,Default,Tier4,15.0,Sellwands
185,221,DragonBear,Default,Tier4,15.0,Sellwands
186,221,DragonBear,Default,Fix all,15.0,Perks
187,222,NetherPro58,Default,Fix all,15.0,Perks
188,222,NetherPro58,Default,Legend,50.0,Ranks
189,223,DragonSpark80,VIP,Legend,50.0,Ranks
190,223,DragonSpark80,VIP,Fly command,35.0,Perks
191,224,xXVoidLordXx,Default,Fly command,35.0,Perks
192,224,xXVoidLordXx,Default,MVP,25.0,Ranks
193,225,UltraGamer13,Default,MVP,25.0,Ranks
194,225,UltraGamer13,Default,Unban,25.0,Perks
195,226,MegaRunner,Default,Unban,25.0,Perks
196,226,MegaRunner,Default,Mythical,20.0,Crate keys
197,227,IceKing,Default,Mythical,20.0,Crate keys
198,227,IceKing,Default,Maximum land size,20.0,Perks
199,228,VoidForce56,Default,Maximum land size,20.0,Perks
200,228,VoidForce56,Default,Tier4,15.0,Sellwands
201,229,xXStormEagleXx,Default,Tier4,15.0,Sellwands
202,229,xXStormEagleXx,Default,Fix all,15.0,Perks
203,230,xXCreeperFoxXx,Default,Fix all,15.0,Perks
204,231,xXIceSparkXx,Default,Legend,50.0,Ranks
205,232,StormCraft,MVP,Fly command,35.0,Perks
206,233,EpicFox34,Default,MVP,25.0,Ranks
207,234,LightTitan,Default,Unban,25.0,Perks
208,235,xXBlazeFuryXx,Default,Mythical,20.0,Crate keys
209,236,ShadowSniper42,Default,Maximum land size,20.0,Perks
210,237,xXGoldWarriorXx,MVP,Tier4,15.0,Sellwands
211,238,xXHyperMinerXx,Default,Fix all,15.0,Perks
212,239,LavaStrike21,Default,Legend,50.0,Ranks
213,240,TurboStrike,Default,Fly command,35.0,Perks
214,241,xXEpicWalkerXx,Default,MVP,25.0,Ranks
215,260,LavaBuilder,Default,Legend,50.0,Ranks
216,261,LightPro54,VIP,Fly command,35.0,Perks
217,262,IronWolf73,Default,MVP,25.0,Ranks
218,263,xXDragonBladeXx,MVP,Unban,25.0,Perks
219,269,BlazeFury65,Default,Legend,50.0,Ranks
220,270,LightFury48,MVP,Fly command,35.0,Perks
221,271,xXSwiftKnightXx,Default,MVP,25.0,Ranks
222,272,EpicTitan44,Default,Unban,25.0,Perks
223,273,xXMegaWarriorXx,Default,Mythical,20.0,Crate keys
224,274,UltraForge,Default,Mythical,20.0,Crate keys
225,274,UltraForge,Default,Maximum land size,20.0,Perks
226,275,xXUltraBladeXx,Default,Mythical,20.0,Crate keys
227,275,xXUltraBladeXx,Default,Maximum land size,20.0,Perks
228,275,xXUltraBladeXx,Default,Tier4,15.0,Sellwands
229,276,LavaHunter52,Default,Maximum land size,20.0,Perks
230,276,LavaHunter52,Default,Tier4,15.0,Sellwands
231,277,FireMaster,Legend,Tier4,15.0,Sellwands
232,277,FireMaster,Legend,Fix all,15.0,Perks
233,278,NeonBuilder,Default,Fix all,15.0,Perks
234,278,NeonBuilder,Default,Legend,50.0,Ranks
235,279,xXDiamondFuryXx,Default,Legend,50.0,Ranks
236,279,xXDiamondFuryXx,Default,Fly command,35.0,Perks
237,280,xXIceFoxXx,Default,Fly command,35.0,Perks
238,280,xXIceFoxXx,Default,MVP,25.0,Ranks
239,281,xXSkyRaiderXx,Default,MVP,25.0,Ranks
240,281,xXSkyRaiderXx,Default,Unban,25.0,Perks
241,282,StormFury,MVP,Unban,25.0,Perks
242,282,StormFury,MVP,Mythical,20.0,Crate keys
243,283,FireBuilder91,Default,Mythical,20.0,Crate keys
244,283,FireBuilder91,Default,Maximum land size,20.0,Perks
245,284,DarkBlade,Legend,Maximum land size,20.0,Perks
246,284,DarkBlade,Legend,Tier4,15.0,Sellwands
247,285,BlazeWraith,Default,Tier4,15.0,Sellwands
248,285,BlazeWraith,Default,Fix all,15.0,Perks
249,286,PhantomRaider,Default,Fix all,15.0,Perks
250,286,PhantomRaider,Default,Legend,50.0,Ranks
251,287,xXBlazeRaiderXx,VIP,Legend,50.0,Ranks
252,287,xXBlazeRaiderXx,VIP,Fly command,35.0,Perks
253,288,IceSlayer15,Default,Fly command,35.0,Perks
254,288,IceSlayer15,Default,MVP,25.0,Ranks
255,289,CreeperGamer,Default,MVP,25.0,Ranks
256,290,NetherStrike19,Default,Unban,25.0,Perks
257,291,ShadowEagle94,Legend,Mythical,20.0,Crate keys
258,292,SkyMaster14,Default,Maximum land size,20.0,Perks
